충전소,충전기ID,충전기타입,주소,이용가능시간
목포시 우미파렌하이트아파트,4,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,5,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,6,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,7,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 우미파렌하이트아파트,8,AC완속,전라남도 목포시 남악2로22번길 15 주차장입구 C09,24시간 이용가능
목포시 케이티목포지사,1,AC완속,전라남도 목포시 영산로 118 ,24시간 이용가능
목포시 케이티목포지사,2,AC완속,전라남도 목포시 영산로 118 ,24시간 이용가능
목포시 케이티목포지사,3,AC완속,전라남도 목포시 영산로 118 ,24시간 이용가능
목포시 텐호텔,1,AC완속,전라남도 목포시 삼향천로 61 주차장,24시간 이용가능
목포시 텐호텔,2,AC완속,전라남도 목포시 삼향천로 61 주차장,24시간 이용가능
목포시 트윈스타아파트,1,AC완속,"전라남도 목포시 수문로 32 지하1층 2기, 지하4층 2기",24시간 이용가능
목포시 트윈스타아파트,2,AC완속,"전라남도 목포시 수문로 32 지하1층 2기, 지하4층 2기",24시간 이용가능
목포시 트윈스타아파트,3,AC완속,"전라남도 목포시 수문로 32 지하1층 2기, 지하4층 2기",24시간 이용가능
목포시 트윈스타아파트,4,AC완속,"전라남도 목포시 수문로 32 지하1층 2기, 지하4층 2기",24시간 이용가능
목포시 포미타운주공1단지,8,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,9,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,10,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,11,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,12,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,13,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 포미타운주공1단지,14,AC완속,전라남도 목포시 포미로 23 108동주차장,24시간 이용가능
목포시 프라도호텔,1,AC완속,전라남도 목포시 번영로 24 주차장,24시간 이용가능
목포시 하당제일풍경채3차,1,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,2,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,3,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,4,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,5,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,6,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,7,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하당제일풍경채3차,8,AC완속,전라남도 목포시 하당로289번길 6 302동 주차장,24시간 이용가능
목포시 하얀목화밭펜션,1,AC완속,전라남도 목포시 고하도길 57 주차장,24시간 이용가능
목포시 한성타워맨션,1,AC완속,전라남도 목포시 원산로 59번길 14 ,24시간 이용가능
목포시 한성타워맨션,2,AC완속,전라남도 목포시 원산로 59번길 14 ,24시간 이용가능
