fetched_at,statId,chgerId,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,busiId
2026-09-15T08:12:19.606842+00:00,ME22C802,05,2,20260915171059,20260915155050,20260915163051,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,06,2,20260915171041,20260915150238,20260915152325,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,07,2,20260915171103,20260915160034,20260915164036,,ME
2026-09-15T08:12:19.606842+00:00,ME22C802,08,2,20260915171102,20260915111831,20260915115833,,ME
2026-09-15T08:12:19.606842+00:00,ME22D121,01,2,20260915171026,20260915161316,20260915164659,,ME
2026-09-15T08:12:19.606842+00:00,ME22D152,01,2,20260915171043,20260913150915,20260913153858,,ME
2026-09-15T08:12:19.606842+00:00,ME22D205,01,2,20260915171011,20260914221622,20260914223955,,ME
2026-09-15T08:12:19.606842+00:00,ME22D205,02,2,20260915171106,20260914183103,20260914184446,,ME
2026-09-15T08:12:19.606842+00:00,ME22D402,01,2,20260915171036,20260915145559,20260915153120,,ME
2026-09-15T08:12:19.606842+00:00,ME22D402,02,2,20260915171043,20260914082336,20260914090339,,ME
2026-09-15T08:12:19.606842+00:00,ME22D402,03,2,20260915171024,20260914115631,20260914123634,,ME
2026-09-15T08:12:19.606842+00:00,ME22D402,04,2,20260915171045,20260915003431,20260915004822,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,01,2,20260915171022,20260913191659,20260913193137,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,02,2,20260915171033,20260915162253,20260915163623,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,81,2,20260915171036,20260915163057,20260915170139,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,82,2,20260915170936,20260915150525,20260915150928,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,83,2,20260915171048,20260915152548,20260915154108,,ME
2026-09-15T08:12:19.606842+00:00,ME22M301,84,2,20260915171056,20260914222032,20260914223619,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,04,2,20260915170440,20260913152204,20260913160209,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,27,9,20260915170810,20260828120035,20260828124039,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,28,2,20260915170312,20260913153914,20260913161419,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,33,2,20260915171048,20260914194358,20260914202359,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,34,2,20260915171027,20260915152740,20260915154016,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,35,2,20260915171031,20260912150416,20260912154417,,ME
2026-09-15T08:12:19.606842+00:00,ME22M302,36,2,20260915171057,20260915105206,20260915110209,,ME
2026-09-15T08:12:19.606842+00:00,ME25A102,01,2,20260915170617,20260915160237,20260915164248,,ME
2026-09-15T08:12:19.606842+00:00,ME25A107,01,2,20260915170619,20260914084323,20260914091011,,ME
2026-09-15T08:12:19.606842+00:00,ME25A108,01,2,20260915170940,20260908091808,20260908093242,,ME
2026-09-15T08:12:19.606842+00:00,ME25A401,21,2,20260915171104,20260915120910,20260915122324,,ME
2026-09-15T08:12:19.606842+00:00,ME25A401,22,2,20260915171107,20260914091405,20260914093613,,ME
2026-09-15T08:12:19.606842+00:00,ME25A401,23,2,20260915170925,20260914062516,20260914062834,,ME
2026-09-15T08:12:19.606842+00:00,ME25A401,24,2,20260915170927,20260915063833,20260915071429,,ME
2026-09-15T08:12:19.606842+00:00,ME25A403,21,2,20260915170709,20260909162422,20260909170235,,ME
2026-09-15T08:12:19.606842+00:00,ME25A403,22,2,20260915170711,20260909063942,20260909071244,,ME
2026-09-15T08:12:19.606842+00:00,ME25A403,23,2,20260915170725,20260910115739,20260910123744,,ME
2026-09-15T08:12:19.606842+00:00,ME25A403,24,2,20260915170727,20260915120109,20260915124114,,ME
2026-09-15T08:12:19.606842+00:00,ME25A404,21,2,20260915170636,20260915154959,20260915155721,,ME
2026-09-15T08:12:19.606842+00:00,ME25A404,22,2,20260915170636,20260908001904,20260908005910,,ME
2026-09-15T08:12:19.606842+00:00,ME25A404,23,2,20260915170823,20260910162426,20260910170430,,ME
2026-09-15T08:12:19.606842+00:00,ME25A404,24,2,20260915170825,20260915112557,20260915120602,,ME
2026-09-15T08:12:19.606842+00:00,ME25A405,21,2,20260915170733,20260914043410,20260914044150,,ME
2026-09-15T08:12:19.606842+00:00,ME25A405,22,2,20260915170735,20260915111259,20260915112417,,ME
2026-09-15T08:12:19.606842+00:00,ME25A405,23,2,20260915170925,20260915110611,20260915112629,,ME
2026-09-15T08:12:19.606842+00:00,ME25A405,24,2,20260915170927,20260913020129,20260913022127,,ME
2026-09-15T08:12:19.606842+00:00,ME25A406,21,2,20260915170748,20260914161320,20260914163457,,ME
2026-09-15T08:12:19.606842+00:00,ME25A406,22,2,20260915170750,20260915095126,20260915100629,,ME
2026-09-15T08:12:19.606842+00:00,ME25A406,23,2,20260915170759,20260914092517,20260914094523,,ME
2026-09-15T08:12:19.606842+00:00,ME25A406,24,2,20260915170801,20260908000932,20260908003215,,ME
2026-09-15T08:12:19.606842+00:00,AH000021,05,3,20260915171208,20260915171208,20260915125639,20260915171208,AH
2026-09-15T08:12:19.606842+00:00,AH000100,01,2,20260915171208,20260915141154,20260915171208,,AH
2026-09-15T08:12:19.606842+00:00,AM900044,01,3,20260915170415,20260913110911,20260913020926,20260915074420,AM
2026-09-15T08:12:19.606842+00:00,BNBN0058,02,2,20260915170602,20260915164457,20260915170453,,BN
2026-09-15T08:12:19.606842+00:00,BNBN0058,03,3,20260915170302,20260915160042,20260915163918,20260915160042,BN
2026-09-15T08:12:19.606842+00:00,BNBN0058,04,3,20260915170602,20260915160042,20260915163918,20260915160042,BN
2026-09-15T08:12:19.606842+00:00,BNBN0177,01,2,20260915170903,20260915090709,20260915170601,,BN
2026-09-15T08:12:19.606842+00:00,BNBN0416,02,3,20260915170304,20260914221148,20260915024118,20260914221148,BN
2026-09-15T08:12:19.606842+00:00,BNBN0581,06,3,20260915171207,20260914154941,20260914235427,20260914154941,BN
2026-09-15T08:12:19.606842+00:00,BNBN0822,04,2,20260915170911,20260915163718,20260915170728,,BN
2026-09-15T08:12:19.606842+00:00,BNBN0828,01,3,20260915170907,20260914144756,20260914174516,20260914144756,BN
2026-09-15T08:12:19.606842+00:00,BNBN0831,01,3,20260915171208,20260912154210,20260912205553,20260915171208,BN
2026-09-15T08:12:19.606842+00:00,BNBN0864,01,3,20260915170608,20260915161344,20260915165613,20260915161344,BN
2026-09-15T08:12:19.606842+00:00,BNBN0866,05,2,20260915170908,20260915140125,20260915170847,,BN
2026-09-15T08:12:19.606842+00:00,BNBN0904,04,3,20260915170307,20260915144355,20260915162250,20260915144355,BN
2026-09-15T08:12:19.606842+00:00,BT000131,03,9,20260915171201,20260915165622,20260915165715,,BT
2026-09-15T08:12:19.606842+00:00,BT000147,01,2,20260915170553,20260915170552,20260915170553,,BT
2026-09-15T08:12:19.606842+00:00,BT000165,01,2,20260915170801,20260915163431,20260915164002,,BT
2026-09-15T08:12:19.606842+00:00,BT000174,01,2,20260915170612,20260911074253,20260911100224,,BT
2026-09-15T08:12:19.606842+00:00,BT200001,03,4,20260915171205,20260915171203,20260915171205,,BT
2026-09-15T08:12:19.606842+00:00,BT200001,06,4,20260915171209,20260915171203,20260915171209,,BT
2026-09-15T08:12:19.606842+00:00,BT200001,07,3,20260915171203,20260915171203,20260915171203,20260915171203,BT
2026-09-15T08:12:19.606842+00:00,BT200001,13,3,20260915171203,20260915171203,20260915171203,20260915171203,BT
2026-09-15T08:12:19.606842+00:00,BT200001,14,3,20260915171203,20260915171203,20260915171203,20260915171203,BT
2026-09-15T08:12:19.606842+00:00,CO000019,16,3,20260915171200,20260915171200,20260911085802,20260915171200,CO
2026-09-15T08:12:19.606842+00:00,CR000244,02,3,20260915170405,20260915170405,20260915170335,20260915170405,CR
2026-09-15T08:12:19.606842+00:00,CR000244,03,2,20260915170744,20260915160033,20260915170744,,CR
